,memory,version,dataset,metric,value
176,4 GB,SCAMPI (4 GB),HAR_Ambient_Sensor_Data,discovery in s,3.55551096
177,0.5 GB,SCAMPI (0.5 GB),swtAttack7,discovery in s,15.299345315
178,8 GB,SCAMPI (8 GB),Challenge2009Respiration500HZ,discovery in s,95.061695568
179,2 GB,SCAMPI (2 GB),MGHSleepElectromyography,discovery in s,26.036789293000002
180,4 GB,SCAMPI (4 GB),WindTurbine,discovery in s,43.41522916
181,8 GB,SCAMPI (8 GB),swtAttack7,discovery in s,163.749950132
182,8 GB,SCAMPI (8 GB),solarwind,discovery in s,93.449328447
183,16 GB,SCAMPI (16 GB),Challenge2009TestSetA_101a,discovery in s,364.348142861
184,16 GB,SCAMPI (16 GB),Lab_FD_061014,discovery in s,130.891163914
185,16 GB,SCAMPI (16 GB),WindTurbine,discovery in s,130.23429499
186,1 GB,SCAMPI (1 GB),house,discovery in s,10.169193747
187,1 GB,SCAMPI (1 GB),BlackLeggedKittiwake,discovery in s,19.404073526
188,2 GB,SCAMPI (2 GB),water,discovery in s,29.979018318
189,2 GB,SCAMPI (2 GB),stator_winding,discovery in s,32.609854285
190,0.25 GB,SCAMPI (0.25 GB),water,discovery in s,5.679220142
191,0.25 GB,SCAMPI (0.25 GB),CinC_Challenge,discovery in s,0.36813845100000003
192,0.25 GB,SCAMPI (0.25 GB),WindTurbine,discovery in s,5.118873042
193,0.5 GB,SCAMPI (0.5 GB),BlackLeggedKittiwake,discovery in s,10.645842368
194,2 GB,SCAMPI (2 GB),EOG_one_hour_50_Hz,discovery in s,74.981319678
195,8 GB,SCAMPI (8 GB),house,discovery in s,38.179179406
196,8 GB,SCAMPI (8 GB),BlackLeggedKittiwake,discovery in s,117.554797666
197,2 GB,SCAMPI (2 GB),swtAttack38,discovery in s,63.350173036
198,16 GB,SCAMPI (16 GB),MGHSleepElectromyography,discovery in s,153.699008417
199,16 GB,SCAMPI (16 GB),solarwind,discovery in s,189.028570899
200,0.25 GB,SCAMPI (0.25 GB),Lab_K_060314,discovery in s,4.568678004
201,16 GB,SCAMPI (16 GB),swtAttack38,discovery in s,353.724740969
202,0.5 GB,SCAMPI (0.5 GB),Lab_FD_061014,discovery in s,8.598854412
