,memory,version,dataset,motif length,metric,value
747,32 GB,SCAMPI (32 GB),HAR_Ambient_Sensor_Data,4096,setup in s,118.580069111
748,2 GB,SCAMPI (2 GB),Lab_K_060314,512,setup in s,9.823139092
749,2 GB,SCAMPI (2 GB),Lab_K_060314,1024,setup in s,10.007264929
750,2 GB,SCAMPI (2 GB),Lab_K_060314,2048,setup in s,9.942700724
751,2 GB,SCAMPI (2 GB),Lab_K_060314,4096,setup in s,10.216744758
752,0.5 GB,SCAMPI (0.5 GB),SpainishEnergyDataset,512,setup in s,18.337499709
753,0.5 GB,SCAMPI (0.5 GB),SpainishEnergyDataset,1024,setup in s,18.161102451
754,0.5 GB,SCAMPI (0.5 GB),SpainishEnergyDataset,2048,setup in s,20.005527086
755,0.5 GB,SCAMPI (0.5 GB),SpainishEnergyDataset,4096,setup in s,8.336443807
756,32 GB,SCAMPI (32 GB),SpainishEnergyDataset,512,setup in s,19.05946683
757,32 GB,SCAMPI (32 GB),SpainishEnergyDataset,1024,setup in s,23.019885606
758,32 GB,SCAMPI (32 GB),SpainishEnergyDataset,2048,setup in s,23.682414918
759,32 GB,SCAMPI (32 GB),SpainishEnergyDataset,4096,setup in s,31.186186097
760,2 GB,SCAMPI (2 GB),recorddata,512,setup in s,292.10573544
761,2 GB,SCAMPI (2 GB),recorddata,1024,setup in s,297.995040841
762,2 GB,SCAMPI (2 GB),recorddata,2048,setup in s,299.602958908
763,2 GB,SCAMPI (2 GB),recorddata,4096,setup in s,336.636207418
764,8 GB,SCAMPI (8 GB),Lab_FD_061014,512,setup in s,26.473798935
765,8 GB,SCAMPI (8 GB),Lab_FD_061014,1024,setup in s,27.850841338
766,8 GB,SCAMPI (8 GB),Lab_FD_061014,2048,setup in s,25.294079286
767,8 GB,SCAMPI (8 GB),Lab_FD_061014,4096,setup in s,27.357305778
768,1 GB,SCAMPI (1 GB),FingerFlexionECoG,512,setup in s,124.377420376
769,1 GB,SCAMPI (1 GB),FingerFlexionECoG,1024,setup in s,122.687423474
770,1 GB,SCAMPI (1 GB),FingerFlexionECoG,2048,setup in s,125.209618656
771,1 GB,SCAMPI (1 GB),FingerFlexionECoG,4096,setup in s,139.12233388800001
772,0.5 GB,SCAMPI (0.5 GB),Bird12-Week3_2018_1_10,512,setup in s,50.364410797
773,0.5 GB,SCAMPI (0.5 GB),Bird12-Week3_2018_1_10,1024,setup in s,11.398912811
774,0.5 GB,SCAMPI (0.5 GB),Bird12-Week3_2018_1_10,2048,setup in s,10.952947996
775,0.5 GB,SCAMPI (0.5 GB),Bird12-Week3_2018_1_10,4096,setup in s,12.98965082
776,0.5 GB,SCAMPI (0.5 GB),EOG_one_hour_50_Hz,512,setup in s,7.778058811
777,0.5 GB,SCAMPI (0.5 GB),EOG_one_hour_50_Hz,1024,setup in s,7.193377947
778,0.5 GB,SCAMPI (0.5 GB),EOG_one_hour_50_Hz,2048,setup in s,7.366699348
779,0.5 GB,SCAMPI (0.5 GB),EOG_one_hour_50_Hz,4096,setup in s,7.42201257
780,2 GB,SCAMPI (2 GB),SpainishEnergyDataset,512,setup in s,17.378429485
781,2 GB,SCAMPI (2 GB),SpainishEnergyDataset,1024,setup in s,17.779194049
782,2 GB,SCAMPI (2 GB),SpainishEnergyDataset,2048,setup in s,19.978535128
783,2 GB,SCAMPI (2 GB),SpainishEnergyDataset,4096,setup in s,8.339379758
784,16 GB,SCAMPI (16 GB),house,512,setup in s,11.612549282
785,16 GB,SCAMPI (16 GB),house,1024,setup in s,31.345997496
786,16 GB,SCAMPI (16 GB),house,2048,setup in s,39.510317514
787,16 GB,SCAMPI (16 GB),house,4096,setup in s,49.621039755
788,16 GB,SCAMPI (16 GB),BlackLeggedKittiwake,512,setup in s,71.373396195
789,16 GB,SCAMPI (16 GB),BlackLeggedKittiwake,1024,setup in s,53.761641527
790,16 GB,SCAMPI (16 GB),BlackLeggedKittiwake,2048,setup in s,76.525643084
791,16 GB,SCAMPI (16 GB),BlackLeggedKittiwake,4096,setup in s,75.778773773
792,0.25 GB,SCAMPI (0.25 GB),SynchrophasorEventsLarge,512,setup in s,291.402145029
793,0.25 GB,SCAMPI (0.25 GB),SynchrophasorEventsLarge,1024,setup in s,332.098511231
794,0.25 GB,SCAMPI (0.25 GB),SynchrophasorEventsLarge,2048,setup in s,292.371911583
795,0.25 GB,SCAMPI (0.25 GB),SynchrophasorEventsLarge,4096,setup in s,366.854999257
796,32 GB,SCAMPI (32 GB),swtAttack38,512,setup in s,2.25834174
797,32 GB,SCAMPI (32 GB),swtAttack38,1024,setup in s,36.276483417
798,32 GB,SCAMPI (32 GB),swtAttack38,2048,setup in s,53.175816609
799,32 GB,SCAMPI (32 GB),swtAttack38,4096,setup in s,17.517137705
800,8 GB,SCAMPI (8 GB),EOG_one_hour_400_Hz,512,setup in s,38.513602953
801,8 GB,SCAMPI (8 GB),EOG_one_hour_400_Hz,1024,setup in s,37.379671863
802,8 GB,SCAMPI (8 GB),EOG_one_hour_400_Hz,2048,setup in s,36.045290713
803,8 GB,SCAMPI (8 GB),EOG_one_hour_400_Hz,4096,setup in s,33.516393067
804,2 GB,SCAMPI (2 GB),WindTurbine,512,setup in s,26.082473957
805,2 GB,SCAMPI (2 GB),WindTurbine,1024,setup in s,32.508899595
806,2 GB,SCAMPI (2 GB),WindTurbine,2048,setup in s,35.581304585
807,2 GB,SCAMPI (2 GB),WindTurbine,4096,setup in s,40.141278837
808,64 GB,SCAMPI (64 GB),BlackLeggedKittiwake,512,setup in s,73.917819807
809,64 GB,SCAMPI (64 GB),BlackLeggedKittiwake,1024,setup in s,55.860992812
810,64 GB,SCAMPI (64 GB),BlackLeggedKittiwake,2048,setup in s,293.919328774
811,64 GB,SCAMPI (64 GB),BlackLeggedKittiwake,4096,setup in s,117.978100822
812,64 GB,SCAMPI (64 GB),house,512,setup in s,11.155130899
813,64 GB,SCAMPI (64 GB),house,1024,setup in s,30.442497849
814,64 GB,SCAMPI (64 GB),house,2048,setup in s,39.723559297
815,64 GB,SCAMPI (64 GB),house,4096,setup in s,180.476101409
816,0.25 GB,SCAMPI (0.25 GB),FingerFlexionECoG,512,setup in s,120.737695011
817,0.25 GB,SCAMPI (0.25 GB),FingerFlexionECoG,1024,setup in s,124.067249957
818,0.25 GB,SCAMPI (0.25 GB),FingerFlexionECoG,2048,setup in s,128.247425962
819,0.25 GB,SCAMPI (0.25 GB),FingerFlexionECoG,4096,setup in s,138.024659688
820,1 GB,SCAMPI (1 GB),Lab_FD_061014,512,setup in s,10.666977261
821,1 GB,SCAMPI (1 GB),Lab_FD_061014,1024,setup in s,12.348595772
822,1 GB,SCAMPI (1 GB),Lab_FD_061014,2048,setup in s,9.560815526
823,1 GB,SCAMPI (1 GB),Lab_FD_061014,4096,setup in s,11.02153252
824,0.25 GB,SCAMPI (0.25 GB),Lab_FD_061014,512,setup in s,8.906552537
825,0.25 GB,SCAMPI (0.25 GB),Lab_FD_061014,1024,setup in s,10.908451496
826,0.25 GB,SCAMPI (0.25 GB),Lab_FD_061014,2048,setup in s,7.631292324
827,0.25 GB,SCAMPI (0.25 GB),Lab_FD_061014,4096,setup in s,9.565073412
828,4 GB,SCAMPI (4 GB),MGHSleepElectromyography,512,setup in s,15.980073052
829,4 GB,SCAMPI (4 GB),MGHSleepElectromyography,1024,setup in s,15.266587671
830,4 GB,SCAMPI (4 GB),MGHSleepElectromyography,2048,setup in s,16.738282307
831,4 GB,SCAMPI (4 GB),MGHSleepElectromyography,4096,setup in s,16.663390141
832,8 GB,SCAMPI (8 GB),FingerFlexionECoG,512,setup in s,123.472030755
833,8 GB,SCAMPI (8 GB),FingerFlexionECoG,1024,setup in s,120.658484796
834,8 GB,SCAMPI (8 GB),FingerFlexionECoG,2048,setup in s,123.772189796
835,8 GB,SCAMPI (8 GB),FingerFlexionECoG,4096,setup in s,141.692460043
836,0.5 GB,SCAMPI (0.5 GB),HAR_Ambient_Sensor_Data,512,setup in s,17.875885092
837,0.5 GB,SCAMPI (0.5 GB),HAR_Ambient_Sensor_Data,1024,setup in s,16.497694976000002
838,0.5 GB,SCAMPI (0.5 GB),HAR_Ambient_Sensor_Data,2048,setup in s,17.275381469
839,0.5 GB,SCAMPI (0.5 GB),HAR_Ambient_Sensor_Data,4096,setup in s,3.660757736
840,32 GB,SCAMPI (32 GB),MGHSleepElectromyography,512,setup in s,31.861698187000002
841,32 GB,SCAMPI (32 GB),MGHSleepElectromyography,1024,setup in s,78.109851534
842,32 GB,SCAMPI (32 GB),MGHSleepElectromyography,2048,setup in s,80.968927459
843,32 GB,SCAMPI (32 GB),MGHSleepElectromyography,4096,setup in s,81.184704843
844,16 GB,SCAMPI (16 GB),swtAttack7,512,setup in s,9.001812426
845,16 GB,SCAMPI (16 GB),swtAttack7,1024,setup in s,78.256609515
846,16 GB,SCAMPI (16 GB),swtAttack7,2048,setup in s,33.077612589
847,16 GB,SCAMPI (16 GB),swtAttack7,4096,setup in s,28.025867477
848,32 GB,SCAMPI (32 GB),solarwind,512,setup in s,89.107650187
849,32 GB,SCAMPI (32 GB),solarwind,1024,setup in s,85.052851984
850,32 GB,SCAMPI (32 GB),solarwind,2048,setup in s,85.714544954
851,32 GB,SCAMPI (32 GB),solarwind,4096,setup in s,82.036540452
852,64 GB,SCAMPI (64 GB),swtAttack7,512,setup in s,9.036083526
853,64 GB,SCAMPI (64 GB),swtAttack7,1024,setup in s,76.263342697
854,64 GB,SCAMPI (64 GB),swtAttack7,2048,setup in s,32.71425833
855,64 GB,SCAMPI (64 GB),swtAttack7,4096,setup in s,26.266512546
856,2 GB,SCAMPI (2 GB),HAR_Ambient_Sensor_Data,512,setup in s,15.455133713
857,2 GB,SCAMPI (2 GB),HAR_Ambient_Sensor_Data,1024,setup in s,18.275417912
858,2 GB,SCAMPI (2 GB),HAR_Ambient_Sensor_Data,2048,setup in s,18.478295636
859,2 GB,SCAMPI (2 GB),HAR_Ambient_Sensor_Data,4096,setup in s,9.320218633
860,0.5 GB,SCAMPI (0.5 GB),Lab_K_060314,512,setup in s,6.519734653
861,0.5 GB,SCAMPI (0.5 GB),Lab_K_060314,1024,setup in s,6.699246937
862,0.5 GB,SCAMPI (0.5 GB),Lab_K_060314,2048,setup in s,6.671798305
863,0.5 GB,SCAMPI (0.5 GB),Lab_K_060314,4096,setup in s,6.729921647
864,4 GB,SCAMPI (4 GB),Lab_FD_061014,512,discovery in s,26.717508598
865,4 GB,SCAMPI (4 GB),Lab_FD_061014,1024,discovery in s,29.953153015
866,4 GB,SCAMPI (4 GB),Lab_FD_061014,2048,discovery in s,44.36379771
867,4 GB,SCAMPI (4 GB),Lab_FD_061014,4096,discovery in s,52.434497037
868,1 GB,SCAMPI (1 GB),MGHSleepElectromyography,512,discovery in s,12.362559644
869,1 GB,SCAMPI (1 GB),MGHSleepElectromyography,1024,discovery in s,10.99913732
870,1 GB,SCAMPI (1 GB),MGHSleepElectromyography,2048,discovery in s,9.514898386
871,1 GB,SCAMPI (1 GB),MGHSleepElectromyography,4096,discovery in s,18.735409704
872,8 GB,SCAMPI (8 GB),lorenzAttractorsLONG,512,discovery in s,19.037570584
873,8 GB,SCAMPI (8 GB),lorenzAttractorsLONG,1024,discovery in s,49.524125492
874,8 GB,SCAMPI (8 GB),lorenzAttractorsLONG,2048,discovery in s,1.075182984
875,8 GB,SCAMPI (8 GB),lorenzAttractorsLONG,4096,discovery in s,118.6750513
876,8 GB,SCAMPI (8 GB),Challenge2009TestSetA_101a,512,discovery in s,83.25930633
877,8 GB,SCAMPI (8 GB),Challenge2009TestSetA_101a,1024,discovery in s,56.321242796
878,8 GB,SCAMPI (8 GB),Challenge2009TestSetA_101a,2048,discovery in s,83.638734699
879,8 GB,SCAMPI (8 GB),Challenge2009TestSetA_101a,4096,discovery in s,74.14051392
880,0.25 GB,SCAMPI (0.25 GB),lorenzAttractorsLONG,512,discovery in s,21.743046129
881,0.25 GB,SCAMPI (0.25 GB),lorenzAttractorsLONG,1024,discovery in s,46.890186472
882,0.25 GB,SCAMPI (0.25 GB),lorenzAttractorsLONG,2048,discovery in s,1.347908732
883,0.25 GB,SCAMPI (0.25 GB),lorenzAttractorsLONG,4096,discovery in s,118.54010187
884,64 GB,SCAMPI (64 GB),stator_winding,512,discovery in s,154.550489872
885,64 GB,SCAMPI (64 GB),stator_winding,1024,discovery in s,99.44821237
886,64 GB,SCAMPI (64 GB),stator_winding,2048,discovery in s,116.269384317
887,64 GB,SCAMPI (64 GB),stator_winding,4096,discovery in s,118.066255251
888,2 GB,SCAMPI (2 GB),Challenge2009Respiration500HZ,512,discovery in s,1.598220738
889,2 GB,SCAMPI (2 GB),Challenge2009Respiration500HZ,1024,discovery in s,0.41704559300000005
890,2 GB,SCAMPI (2 GB),Challenge2009Respiration500HZ,2048,discovery in s,34.128903889
891,2 GB,SCAMPI (2 GB),Challenge2009Respiration500HZ,4096,discovery in s,32.867579272
892,16 GB,SCAMPI (16 GB),stator_winding,512,discovery in s,121.77761122
893,16 GB,SCAMPI (16 GB),stator_winding,1024,discovery in s,88.540662875
894,16 GB,SCAMPI (16 GB),stator_winding,2048,discovery in s,94.919843189
895,16 GB,SCAMPI (16 GB),stator_winding,4096,discovery in s,108.141869805
896,4 GB,SCAMPI (4 GB),FingerFlexionECoG,512,discovery in s,25.411447824
897,4 GB,SCAMPI (4 GB),FingerFlexionECoG,1024,discovery in s,53.351503637
898,4 GB,SCAMPI (4 GB),FingerFlexionECoG,2048,discovery in s,45.088810008
899,4 GB,SCAMPI (4 GB),FingerFlexionECoG,4096,discovery in s,6.520645167
900,8 GB,SCAMPI (8 GB),MGHSleepElectromyography,512,discovery in s,74.283639323
901,8 GB,SCAMPI (8 GB),MGHSleepElectromyography,1024,discovery in s,58.734666173
902,8 GB,SCAMPI (8 GB),MGHSleepElectromyography,2048,discovery in s,48.868858804
903,8 GB,SCAMPI (8 GB),MGHSleepElectromyography,4096,discovery in s,57.125933236
904,32 GB,SCAMPI (32 GB),SynchrophasorEventsLarge,512,discovery in s,73.965557179
905,32 GB,SCAMPI (32 GB),SynchrophasorEventsLarge,1024,discovery in s,98.663109172
906,32 GB,SCAMPI (32 GB),SynchrophasorEventsLarge,2048,discovery in s,132.15718394
907,32 GB,SCAMPI (32 GB),SynchrophasorEventsLarge,4096,discovery in s,287.535006301
908,0.25 GB,SCAMPI (0.25 GB),BlackLeggedKittiwake,512,discovery in s,5.509799325
909,0.25 GB,SCAMPI (0.25 GB),BlackLeggedKittiwake,1024,discovery in s,5.019845319
910,0.25 GB,SCAMPI (0.25 GB),BlackLeggedKittiwake,2048,discovery in s,5.720554905
911,0.25 GB,SCAMPI (0.25 GB),BlackLeggedKittiwake,4096,discovery in s,7.880695779
912,0.5 GB,SCAMPI (0.5 GB),WindTurbine,512,discovery in s,0.6370903910000001
913,0.5 GB,SCAMPI (0.5 GB),WindTurbine,1024,discovery in s,0.8999443030000001
914,0.5 GB,SCAMPI (0.5 GB),WindTurbine,2048,discovery in s,1.857808868
915,0.5 GB,SCAMPI (0.5 GB),WindTurbine,4096,discovery in s,2.352813112
916,1 GB,SCAMPI (1 GB),lorenzAttractorsLONG,512,discovery in s,21.875679326
917,1 GB,SCAMPI (1 GB),lorenzAttractorsLONG,1024,discovery in s,45.676926752
918,1 GB,SCAMPI (1 GB),lorenzAttractorsLONG,2048,discovery in s,0.9917746570000001
919,1 GB,SCAMPI (1 GB),lorenzAttractorsLONG,4096,discovery in s,119.667369452
920,1 GB,SCAMPI (1 GB),Challenge2009TestSetA_101a,512,discovery in s,27.415570193
921,1 GB,SCAMPI (1 GB),Challenge2009TestSetA_101a,1024,discovery in s,19.99037983
922,1 GB,SCAMPI (1 GB),Challenge2009TestSetA_101a,2048,discovery in s,21.772553784
923,1 GB,SCAMPI (1 GB),Challenge2009TestSetA_101a,4096,discovery in s,20.688895765
924,2 GB,SCAMPI (2 GB),solarwind,512,discovery in s,24.544730708
925,2 GB,SCAMPI (2 GB),solarwind,1024,discovery in s,23.841757123
926,2 GB,SCAMPI (2 GB),solarwind,2048,discovery in s,28.631529692
927,2 GB,SCAMPI (2 GB),solarwind,4096,discovery in s,38.977340883
928,32 GB,SCAMPI (32 GB),Lab_FD_061014,512,discovery in s,153.803704225
929,32 GB,SCAMPI (32 GB),Lab_FD_061014,1024,discovery in s,163.669763086
930,32 GB,SCAMPI (32 GB),Lab_FD_061014,2048,discovery in s,244.275952915
931,32 GB,SCAMPI (32 GB),Lab_FD_061014,4096,discovery in s,246.965200947
932,4 GB,SCAMPI (4 GB),EOG_one_hour_400_Hz,512,discovery in s,42.70481857
933,4 GB,SCAMPI (4 GB),EOG_one_hour_400_Hz,1024,discovery in s,30.416688007
934,4 GB,SCAMPI (4 GB),EOG_one_hour_400_Hz,2048,discovery in s,27.401405216
935,4 GB,SCAMPI (4 GB),EOG_one_hour_400_Hz,4096,discovery in s,42.262794269
936,2 GB,SCAMPI (2 GB),swtAttack7,512,discovery in s,0.22889219900000002
937,2 GB,SCAMPI (2 GB),swtAttack7,1024,discovery in s,37.63226079
938,2 GB,SCAMPI (2 GB),swtAttack7,2048,discovery in s,26.036018352
939,2 GB,SCAMPI (2 GB),swtAttack7,4096,discovery in s,33.982826058
940,0.5 GB,SCAMPI (0.5 GB),CinC_Challenge,512,discovery in s,0.906252609
941,0.5 GB,SCAMPI (0.5 GB),CinC_Challenge,1024,discovery in s,0.860769624
942,0.5 GB,SCAMPI (0.5 GB),CinC_Challenge,2048,discovery in s,2.7057788990000002
943,0.5 GB,SCAMPI (0.5 GB),CinC_Challenge,4096,discovery in s,5.019476713
944,0.5 GB,SCAMPI (0.5 GB),water,512,discovery in s,1.017026483
945,0.5 GB,SCAMPI (0.5 GB),water,1024,discovery in s,0.408215714
946,0.5 GB,SCAMPI (0.5 GB),water,2048,discovery in s,9.809428406
947,0.5 GB,SCAMPI (0.5 GB),water,4096,discovery in s,12.975608445
948,32 GB,SCAMPI (32 GB),WindTurbine,512,discovery in s,0.8090447260000001
949,32 GB,SCAMPI (32 GB),WindTurbine,1024,discovery in s,0.6195754840000001
950,32 GB,SCAMPI (32 GB),WindTurbine,2048,discovery in s,1.256534345
951,32 GB,SCAMPI (32 GB),WindTurbine,4096,discovery in s,2.167435422
952,64 GB,SCAMPI (64 GB),Bird12-Week3_2018_1_10,512,discovery in s,1.190203623
953,64 GB,SCAMPI (64 GB),Bird12-Week3_2018_1_10,1024,discovery in s,261.06264754
954,64 GB,SCAMPI (64 GB),Bird12-Week3_2018_1_10,2048,discovery in s,281.10661231
955,64 GB,SCAMPI (64 GB),Bird12-Week3_2018_1_10,4096,discovery in s,353.800577735
956,64 GB,SCAMPI (64 GB),FingerFlexionECoG,512,discovery in s,23.889399481
957,64 GB,SCAMPI (64 GB),FingerFlexionECoG,1024,discovery in s,53.919775296
958,64 GB,SCAMPI (64 GB),FingerFlexionECoG,2048,discovery in s,44.882183664
959,64 GB,SCAMPI (64 GB),FingerFlexionECoG,4096,discovery in s,6.546914141
960,0.5 GB,SCAMPI (0.5 GB),recorddata,512,discovery in s,15.246523496
961,0.5 GB,SCAMPI (0.5 GB),recorddata,1024,discovery in s,15.763911431
962,0.5 GB,SCAMPI (0.5 GB),recorddata,2048,discovery in s,28.700954054
963,0.5 GB,SCAMPI (0.5 GB),recorddata,4096,discovery in s,27.569855433
964,1 GB,SCAMPI (1 GB),EOG_one_hour_50_Hz,512,discovery in s,16.568371532
965,1 GB,SCAMPI (1 GB),EOG_one_hour_50_Hz,1024,discovery in s,13.067084183
966,1 GB,SCAMPI (1 GB),EOG_one_hour_50_Hz,2048,discovery in s,16.241624785
967,1 GB,SCAMPI (1 GB),EOG_one_hour_50_Hz,4096,discovery in s,22.542762505
968,16 GB,SCAMPI (16 GB),FingerFlexionECoG,512,discovery in s,24.404498362000002
969,16 GB,SCAMPI (16 GB),FingerFlexionECoG,1024,discovery in s,53.811629389
970,16 GB,SCAMPI (16 GB),FingerFlexionECoG,2048,discovery in s,44.775857854
971,16 GB,SCAMPI (16 GB),FingerFlexionECoG,4096,discovery in s,6.451046381
972,0.25 GB,SCAMPI (0.25 GB),swtAttack7,512,discovery in s,0.229882373
973,0.25 GB,SCAMPI (0.25 GB),swtAttack7,1024,discovery in s,9.14674502
974,0.25 GB,SCAMPI (0.25 GB),swtAttack7,2048,discovery in s,7.674176137
975,0.25 GB,SCAMPI (0.25 GB),swtAttack7,4096,discovery in s,15.196551296
976,32 GB,SCAMPI (32 GB),Challenge2009TestSetA_101a,512,discovery in s,92.122554402
977,32 GB,SCAMPI (32 GB),Challenge2009TestSetA_101a,1024,discovery in s,53.48995866
978,32 GB,SCAMPI (32 GB),Challenge2009TestSetA_101a,2048,discovery in s,137.235844843
979,32 GB,SCAMPI (32 GB),Challenge2009TestSetA_101a,4096,discovery in s,83.001599672
980,16 GB,SCAMPI (16 GB),Bird12-Week3_2018_1_10,512,discovery in s,1.216717572
981,16 GB,SCAMPI (16 GB),Bird12-Week3_2018_1_10,1024,discovery in s,78.08900183
982,16 GB,SCAMPI (16 GB),Bird12-Week3_2018_1_10,2048,discovery in s,92.239804507
983,16 GB,SCAMPI (16 GB),Bird12-Week3_2018_1_10,4096,discovery in s,123.134394934
984,0.5 GB,SCAMPI (0.5 GB),SpainishEnergyDataset5sec,512,discovery in s,2.901450967
985,0.5 GB,SCAMPI (0.5 GB),SpainishEnergyDataset5sec,1024,discovery in s,6.337719568
986,0.5 GB,SCAMPI (0.5 GB),SpainishEnergyDataset5sec,2048,discovery in s,13.519417425
987,0.5 GB,SCAMPI (0.5 GB),SpainishEnergyDataset5sec,4096,discovery in s,44.847392136
988,8 GB,SCAMPI (8 GB),water,512,discovery in s,1.019525363
989,8 GB,SCAMPI (8 GB),water,1024,discovery in s,0.398441192
990,8 GB,SCAMPI (8 GB),water,2048,discovery in s,61.18501706
991,8 GB,SCAMPI (8 GB),water,4096,discovery in s,70.035996973
992,1 GB,SCAMPI (1 GB),swtAttack38,512,discovery in s,0.03297317
993,1 GB,SCAMPI (1 GB),swtAttack38,1024,discovery in s,19.404616041
994,1 GB,SCAMPI (1 GB),swtAttack38,2048,discovery in s,25.68158739
995,1 GB,SCAMPI (1 GB),swtAttack38,4096,discovery in s,18.602035486
996,8 GB,SCAMPI (8 GB),SpainishEnergyDataset5sec,512,discovery in s,2.75891113
997,8 GB,SCAMPI (8 GB),SpainishEnergyDataset5sec,1024,discovery in s,6.341053311
998,8 GB,SCAMPI (8 GB),SpainishEnergyDataset5sec,2048,discovery in s,13.412629716
999,8 GB,SCAMPI (8 GB),SpainishEnergyDataset5sec,4096,discovery in s,41.759313667
1000,8 GB,SCAMPI (8 GB),stator_winding,512,discovery in s,72.560188006
1001,8 GB,SCAMPI (8 GB),stator_winding,1024,discovery in s,68.391104792
1002,8 GB,SCAMPI (8 GB),stator_winding,2048,discovery in s,73.715449354
1003,8 GB,SCAMPI (8 GB),stator_winding,4096,discovery in s,96.573276104
1004,0.5 GB,SCAMPI (0.5 GB),stator_winding,512,discovery in s,8.342632628
1005,0.5 GB,SCAMPI (0.5 GB),stator_winding,1024,discovery in s,8.529014478
1006,0.5 GB,SCAMPI (0.5 GB),stator_winding,2048,discovery in s,12.248459242
1007,0.5 GB,SCAMPI (0.5 GB),stator_winding,4096,discovery in s,25.328250808
1008,64 GB,SCAMPI (64 GB),CinC_Challenge,512,discovery in s,0.9458082940000001
1009,64 GB,SCAMPI (64 GB),CinC_Challenge,1024,discovery in s,0.85893714
1010,64 GB,SCAMPI (64 GB),CinC_Challenge,2048,discovery in s,2.704025285
1011,64 GB,SCAMPI (64 GB),CinC_Challenge,4096,discovery in s,5.019474726
1012,32 GB,SCAMPI (32 GB),water,512,discovery in s,0.30802921
1013,32 GB,SCAMPI (32 GB),water,1024,discovery in s,0.255798438
1014,32 GB,SCAMPI (32 GB),water,2048,discovery in s,114.677371216
1015,32 GB,SCAMPI (32 GB),water,4096,discovery in s,194.43312566
1016,0.5 GB,SCAMPI (0.5 GB),solarwind,512,discovery in s,9.589001754
1017,0.5 GB,SCAMPI (0.5 GB),solarwind,1024,discovery in s,10.470939722
1018,0.5 GB,SCAMPI (0.5 GB),solarwind,2048,discovery in s,16.476949731
1019,0.5 GB,SCAMPI (0.5 GB),solarwind,4096,discovery in s,20.384356529
1020,16 GB,SCAMPI (16 GB),CinC_Challenge,512,discovery in s,0.9038801980000001
1021,16 GB,SCAMPI (16 GB),CinC_Challenge,1024,discovery in s,0.858523346
1022,16 GB,SCAMPI (16 GB),CinC_Challenge,2048,discovery in s,2.698724163
1023,16 GB,SCAMPI (16 GB),CinC_Challenge,4096,discovery in s,5.018207741
1024,2 GB,SCAMPI (2 GB),house,512,discovery in s,4.942865985
1025,2 GB,SCAMPI (2 GB),house,1024,discovery in s,5.287517683
1026,2 GB,SCAMPI (2 GB),house,2048,discovery in s,7.78279979
1027,2 GB,SCAMPI (2 GB),house,4096,discovery in s,38.767457681
1028,4 GB,SCAMPI (4 GB),Bird12-Week3_2018_1_10,512,discovery in s,1.207570421
1029,4 GB,SCAMPI (4 GB),Bird12-Week3_2018_1_10,1024,discovery in s,28.643735677
1030,4 GB,SCAMPI (4 GB),Bird12-Week3_2018_1_10,2048,discovery in s,34.026502942
1031,4 GB,SCAMPI (4 GB),Bird12-Week3_2018_1_10,4096,discovery in s,50.417148515
1032,2 GB,SCAMPI (2 GB),BlackLeggedKittiwake,512,discovery in s,23.410986309
1033,2 GB,SCAMPI (2 GB),BlackLeggedKittiwake,1024,discovery in s,22.060337431
1034,2 GB,SCAMPI (2 GB),BlackLeggedKittiwake,2048,discovery in s,29.93326726
1035,2 GB,SCAMPI (2 GB),BlackLeggedKittiwake,4096,discovery in s,34.125781518
1036,8 GB,SCAMPI (8 GB),EOG_one_hour_50_Hz,512,discovery in s,18.649526253
1037,8 GB,SCAMPI (8 GB),EOG_one_hour_50_Hz,1024,discovery in s,12.964573816
1038,8 GB,SCAMPI (8 GB),EOG_one_hour_50_Hz,2048,discovery in s,19.643034939
1039,8 GB,SCAMPI (8 GB),EOG_one_hour_50_Hz,4096,discovery in s,30.917615689
1040,8 GB,SCAMPI (8 GB),swtAttack38,512,discovery in s,0.032800960000000004
1041,8 GB,SCAMPI (8 GB),swtAttack38,1024,discovery in s,42.565286035
1042,8 GB,SCAMPI (8 GB),swtAttack38,2048,discovery in s,62.6216679
1043,8 GB,SCAMPI (8 GB),swtAttack38,4096,discovery in s,23.427046775
1044,0.5 GB,SCAMPI (0.5 GB),Challenge2009Respiration500HZ,512,discovery in s,1.596244025
1045,0.5 GB,SCAMPI (0.5 GB),Challenge2009Respiration500HZ,1024,discovery in s,0.42633331900000004
1046,0.5 GB,SCAMPI (0.5 GB),Challenge2009Respiration500HZ,2048,discovery in s,14.09312774
1047,0.5 GB,SCAMPI (0.5 GB),Challenge2009Respiration500HZ,4096,discovery in s,14.454001911
1048,1 GB,SCAMPI (1 GB),SpainishEnergyDataset5sec,512,discovery in s,2.649058354
1049,1 GB,SCAMPI (1 GB),SpainishEnergyDataset5sec,1024,discovery in s,6.711652448
1050,1 GB,SCAMPI (1 GB),SpainishEnergyDataset5sec,2048,discovery in s,13.21852718
1051,1 GB,SCAMPI (1 GB),SpainishEnergyDataset5sec,4096,discovery in s,42.028060611
1052,0.5 GB,SCAMPI (0.5 GB),MGHSleepElectromyography,512,discovery in s,7.198015751
1053,0.5 GB,SCAMPI (0.5 GB),MGHSleepElectromyography,1024,discovery in s,6.621672669
1054,0.5 GB,SCAMPI (0.5 GB),MGHSleepElectromyography,2048,discovery in s,6.988677511
1055,0.5 GB,SCAMPI (0.5 GB),MGHSleepElectromyography,4096,discovery in s,15.278409439
